id:11570080,daddy:data/kidsfashioncsv.csv,name:DOLCE & GABBANA KIDS flower and butterfly print dress,brand:Dolce & Gabbana Kids,price:HK$2754,description:,color:HW231,styleid:L23D09FPM9Z,imglink:https://cdn-images.farfetch-contents.com/11/57/00/80/11570080_8036824_322.jpg
id:12405828,daddy:data/kidsfashioncsv.csv,name:IL GUFO  dress with frill accents,brand:Il Gufo,price:HK$638,description:Carefully handmade in Italy brand Il Gufo specialises in elegant and timeless clothing constructed from the finest of materials. Made in Italy this pink dress with frill accents features a round neck long sleeves and a back button fastening.,color:352,styleid:A17VL253M0041,imglink:https://cdn-images.farfetch-contents.com/12/40/58/28/12405828_11323022_322.jpg
id:12395768,daddy:data/kidsfashioncsv.csv,name:IL GUFO  star print bow dress,brand:Il Gufo,price:HK$831,description:Stella McCartney Kids collection captures the essence of a child's endless imagination using punchy prints on a quirky colour palette. This grey star print bow dress features a round neck long sleeves a flared style a back zip fastening and a central sewn-on bow with gathered detail.,color:Grigio/latte,styleid:A17VL240M5027,imglink:https://cdn-images.farfetch-contents.com/12/39/57/68/12395768_11272343_322.jpg
id:12406706,daddy:data/kidsfashioncsv.csv,name:IL GUFO  striped frill dress set,brand:Il Gufo,price:HK$652,description:Carefully handmade in Italy brand Il Gufo specialises in elegant and timeless clothing constructed from the finest of materials. This grey striped frill dress set features a dress with a round neck long sleeves a back zip fastening and a frill trim and leggings with a regular length.,color:1007,styleid:A17DP226M1062,imglink:https://cdn-images.farfetch-contents.com/12/40/67/06/12406706_11301207_322.jpg
id:12252559,daddy:data/kidsfashioncsv.csv,name:GUCCI KIDS  bow trim dress,brand:Gucci Kids,price:HK$1900,description:Gucci’s playful spirit and unparalleled Italian craftsmanship translates perfectly into the iconic label’s kidswear range. This grey cotton bow trim dress features a round neck short sleeves a concealed rear zip fastening an empire line silhouette a gathered design a full shape skirt and a striped bow trim to the neckline and waist topped with a bow.,color:1046,styleid:478384X9A79,imglink:https://cdn-images.farfetch-contents.com/12/25/25/59/12252559_10658703_322.jpg
id:12155729,daddy:data/kidsfashioncsv.csv,name:BURBERRY KIDS  check collar dress,brand:Burberry Kids,price:HK$1186,description:Burberry Kids’ collection stays true to its British heritage with designs fusing the line between classic and funky. This grey cotton check collar dress features a pink Peter Pan collar a back button fastening short sleeves front welt pockets and a straight hem.,color:03500 GREY,styleid:4055983,imglink:https://cdn-images.farfetch-contents.com/12/15/57/29/12155729_10201601_322.jpg
id:12155730,daddy:data/kidsfashioncsv.csv,name:BURBERRY KIDS  peter pan collar checked blouse,brand:Burberry Kids,price:HK$1186,description:Burberry Kids’ collection stays true to its British heritage with designs fusing the line between classic and funky. This ice pink cotton peter pan collar checked blouse features long sleeves a back button fastening a curved hem and gathered details at the shoulder.,color:Ice pink,styleid:4052863,imglink:https://cdn-images.farfetch-contents.com/12/15/57/30/12155730_10201604_322.jpg
id:12141534,daddy:data/kidsfashioncsv.csv,name:BURBERRY KIDS  checkered blouse,brand:Burberry Kids,price:HK$697,description:Multicolored cotton checkered blouse from Burberry Kids featuring a round neck long sleeves button cuffs a back button fastening a straight hem and ruffle details at the front. Please note the print may differ slightly from the item pictured.,color:2720C NEW CLASSIC CHECK,styleid:40520092720,imglink:https://cdn-images.farfetch-contents.com/12/14/15/34/12141534_10135126_322.jpg
id:11291170,daddy:data/kidsfashioncsv.csv,name:BURBERRY KIDS  checked T-shirt dress,brand:Burberry Kids,price:HK$983,description:White and multicolour cotton checked T-shirt dress  from BURBERRY KIDS.,color:2720C NEW CLASSIC CHECK,styleid:3998083,imglink:https://cdn-images.farfetch-contents.com/11/29/11/70/11291170_6837889_322.jpg
id:12451120,daddy:data/kidsfashioncsv.csv,name:ARMANI JUNIOR  Peter Pan collar dress,brand:Armani Junior,price:HK$1451,description:Armani Junior combines timeless colours with sleek tailoring creating luxurious easy-going looks. Case in point: this white cotton-blend dress defined by a sweet Peter Pan collar and a pleated metallic skirt. Featuring long sleeves and a rear zip fastening this truly pretty piece is punctuated with a heart-shaped logo plaque - the label’s signature.,color:1154,styleid:6YEA073NDKZ,imglink:https://cdn-images.farfetch-contents.com/12/45/11/20/12451120_11483845_322.jpg
